PC Time, Mocap_X, Mocap_y, Mocap_z, Mocap_yaw, Mocap_pitch, Mocap_roll, X_ref, Y_ref, Z_ref 
16.964000,0.053349,0.029186,0.249679,-2.904892,-1.520368,-0.575857,0.000000,0.000000,0.200000
16.973000,0.053525,0.029116,0.249497,-2.902655,-1.541841,-0.586847,0.000000,0.000000,0.200000
16.983000,0.053710,0.029103,0.249274,-2.882252,-1.627307,-0.605169,0.000000,0.000000,0.200000
16.993000,0.053971,0.029269,0.249077,-2.885277,-1.743506,-0.802664,0.000000,0.000000,0.200000
17.003000,0.054105,0.029204,0.248915,-2.874125,-1.665418,-0.787762,0.000000,0.000000,0.200000
17.013000,0.054191,0.029252,0.248644,-2.906628,-1.665067,-0.812707,0.000000,0.000000,0.200000
17.023000,0.054406,0.029314,0.248437,-2.912332,-1.526939,-0.743783,0.000000,0.000000,0.200000
17.033000,0.054611,0.029170,0.248255,-2.954277,-1.541998,-0.859630,0.000000,0.000000,0.200000
17.043000,0.054755,0.029056,0.248046,-2.912581,-1.510452,-0.855457,0.000000,0.000000,0.200000
17.053000,0.054815,0.028995,0.247681,-2.995320,-1.480319,-0.809552,0.000000,0.000000,0.200000
17.064000,0.055109,0.028967,0.247382,-3.076633,-1.289229,-0.863622,0.000000,0.000000,0.200000
17.073000,0.055313,0.028861,0.247159,-2.952282,-1.441529,-0.744794,0.000000,0.000000,0.200000
17.083000,0.055477,0.028728,0.246948,-2.933065,-1.516917,-0.824940,0.000000,0.000000,0.200000
17.093000,0.055706,0.028697,0.246541,-2.943494,-0.866458,-1.222484,0.000000,0.000000,0.200000
17.105000,0.055636,0.028689,0.246309,-3.123340,-1.395652,-1.021413,0.000000,0.000000,0.200000
17.114000,0.055788,0.028546,0.245982,-3.006286,-1.249646,-1.029655,0.000000,0.000000,0.200000
17.123000,0.055931,0.028513,0.245679,-2.985441,-1.280015,-1.128585,0.000000,0.000000,0.200000
17.133000,0.055952,0.028417,0.245384,-2.964410,-1.209823,-1.089068,0.000000,0.000000,0.200000
17.143000,0.055956,0.028282,0.245120,-3.056626,-1.412079,-1.128823,0.000000,0.000000,0.200000
17.153000,0.056059,0.028168,0.244828,-3.121434,-1.312744,-1.229235,0.000000,0.000000,0.200000
17.164000,0.056234,0.028139,0.244525,-3.065413,-1.274885,-1.194657,0.000000,0.000000,0.200000
17.173000,0.056136,0.027846,0.244236,-3.220416,-0.884468,-1.091537,0.000000,0.000000,0.200000
17.183000,0.056192,0.027649,0.243968,-3.178510,-1.048051,-1.126136,0.000000,0.000000,0.200000
17.193000,0.056477,0.027490,0.243844,-3.009503,-1.313421,-1.130755,0.000000,0.000000,0.200000
17.203000,0.056417,0.027576,0.243642,-3.260978,-1.065908,-1.223785,0.000000,0.000000,0.200000
17.214000,0.056504,0.027292,0.243420,-3.271176,-0.728024,-1.172193,0.000000,0.000000,0.200000
17.223000,0.056603,0.027222,0.243276,-3.060092,-0.871128,-1.319529,0.000000,0.000000,0.200000
17.233000,0.056722,0.027182,0.243263,-3.055696,-0.664741,-1.688067,0.000000,0.000000,0.200000
17.243000,0.056675,0.027141,0.243112,-3.224710,-0.972801,-1.528766,0.000000,0.000000,0.200000
17.253000,0.056685,0.026993,0.242737,-3.200848,-0.789454,-1.457605,0.000000,0.000000,0.200000
17.263000,0.056830,0.026878,0.242782,-3.104714,-1.005838,-1.551862,0.000000,0.000000,0.200000
17.273000,0.056892,0.026633,0.242713,-3.154341,-1.057254,-1.805015,0.000000,0.000000,0.200000
